degree,voltage
0,0.413
5,0.414
10,0.412
15,0.409
20,0.406
25,0.402
30,0.4
35,0.397
40,0.392
45,0.385
50,0.378
55,0.37
60,0.358
65,0.345
70,0.328
75,0.309
80,0.288
85,0.26
90,0.227
95,0.223
100,0.254
105,0.285
110,0.309
115,0.328
120,0.344
125,0.356
130,0.367
135,0.375
140,0.381
145,0.389
150,0.396
155,0.401
160,0.406
165,0.408
170,0.411
175,0.413
180,0.413
185,0.412
190,0.41
195,0.407
200,0.405
205,0.403
210,0.401
215,0.397
220,0.391
225,0.385
230,0.377
235,0.369
240,0.358
245,0.346
250,0.33
255,0.309
260,0.286
265,0.258
270,0.225
275,0.222
280,0.255
285,0.285
290,0.308
295,0.328
300,0.343
305,0.353
310,0.364
315,0.374
320,0.384
325,0.392
330,0.397
335,0.401
340,0.406
345,0.409
350,0.411
355,0.411
360,0.409
